x,y
0.1,0.06779429210727723
0.2,0.2277130295148827
0.30000000000000004,0.22709572318123758
0.4,0.195926871972039
0.5,0.1584993208251605
0.6,0.12144191686733867
0.7,0.08676532189614551
0.7999999999999999,0.05499472343624238
0.8999999999999999,0.026135762326847767
0.9999999999999999,NaN
1.0999999999999999,-0.023650627661867544
1.2,-0.0450594012678924
1.3,-0.06445630800635084
1.4000000000000001,-0.08204557289201658
1.5000000000000002,-0.09801063975450575
1.6000000000000003,-0.11251252732381094
1.7000000000000004,-0.1256974642868878
1.8000000000000005,-0.13768440590259334
1.9000000000000006,-0.1485853534435087
