x,y
0.1,-3.321900029200306
0.2,-2.321912925926891
0.30000000000000004,-1.7369622624014542
0.4,-1.3219259095437474
0.5,-1.0
0.6,-0.736965509946437
0.7,-0.5145717625428416
0.7999999999999999,-0.3219187612824444
0.8999999999999999,-0.15200310842090559
0.9999999999999999,0.0
1.0999999999999999,0.13750360701530376
1.2,0.26303123135219497
1.3,0.3785119737338202
1.4000000000000001,0.48542611572582517
1.5000000000000002,0.5849580111718016
1.6000000000000003,0.6780580248699459
1.7000000000000004,0.7655342023699797
1.8000000000000005,0.8479939332829655
1.9000000000000006,0.925991635945188
