x,y
-2.5,-1.3387290998650871
-2.4,-1.0917267404601927
-2.3,-0.8935057706441282
-2.1999999999999997,-0.7279073149021714
-2.0999999999999996,-0.5846209808871625
-1.9999999999999996,-0.4575121818378674
-1.8999999999999995,-0.3415368333634284
-1.7999999999999994,-0.23323033157401046
-1.6999999999999993,-0.12986092430704946
-1.5999999999999992,-0.02906298501489362
-1.4999999999999991,-0.07088448942873028
-1.399999999999999,-0.17281530188373997
-1.299999999999999,-0.2777315047729124
-1.1999999999999988,-0.38882415318436453
-1.0999999999999988,-0.5089859444196025
-0.9999999999999988,-0.6420997540040759
-0.8999999999999988,-0.7933051252717226
-0.7999999999999988,-0.9710995701575128
-0.6999999999999988,-1.1871907040970329
-0.5999999999999989,-1.4616749442637442
-0.4999999999999989,-1.8304800636160132
-0.3999999999999989,-2.365831157355791
-0.29999999999999893,-3.2329703537878145
-0.19999999999999893,-4.933223747733417
-0.09999999999999892,-9.966652824413341
1.0824674490095276E-15,Infinity
0.10000000000000109,9.966652824413124
0.2000000000000011,4.933223747733361
0.3000000000000011,3.23297035378779
0.40000000000000113,2.365831157355776
0.5000000000000011,1.830480063616004
0.6000000000000011,1.4616749442637371
0.7000000000000011,1.1871907040970275
0.800000000000001,0.9710995701575088
0.900000000000001,0.7933051252717188
1.000000000000001,0.6420997540040725
1.1000000000000012,0.5089859444195994
1.2000000000000013,0.38882415318436164
1.3000000000000014,0.27773150477290964
1.4000000000000015,0.17281530188373656
1.5000000000000016,0.0708844894287287
1.6000000000000016,0.029062985014897447
1.7000000000000017,0.1298609243070521
1.8000000000000018,0.23323033157401288
1.900000000000002,0.3415368333634304
2.0000000000000018,0.4575121818378704
2.100000000000002,0.5846209808871659
2.200000000000002,0.7279073149021749
2.300000000000002,0.8935057706441308
2.400000000000002,1.0917267404601967
