x,y
0.1,0.9950041736372545
0.2,0.9800671178830334
0.30000000000000004,0.9553427395442957
0.4,0.9210969305971851
0.5,0.8775817179992375
0.6,0.8253318339286326
0.7,0.7648285171306876
0.7999999999999999,0.6966642420321445
0.8999999999999999,0.6214916962192153
0.9999999999999999,0.5403065588752539
1.0999999999999999,0.4536087486092083
1.2,0.36239385136832697
1.3,0.2676024719348464
1.4000000000000001,0.17029112625329568
1.5000000000000002,0.07070707424413802
1.6000000000000003,0.029050718656706175
1.7000000000000004,0.1287796034781293
1.8000000000000005,0.2271344841962372
1.9000000000000006,0.3232060757831297
